Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode
1INCH-BTC,1INCH,BTC,0.0000001,0.01,1INCH/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
1INCH-EUR,1INCH,EUR,0.001,0.01,1INCH/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
1INCH-GBP,1INCH,GBP,0.001,0.01,1INCH/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
1INCH-USD,1INCH,USD,0.001,0.01,1INCH/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AAVE-BTC,AAVE,BTC,0.000001,0.001,AAVE/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
AAVE-EUR,AAVE,EUR,0.01,0.001,AAVE/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AAVE-GBP,AAVE,GBP,0.01,0.001,AAVE/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
AAVE-USD,AAVE,USD,0.01,0.001,AAVE/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ABT-USD,ABT,USD,0.0001,0.1,ABT/USD,1,False,False,False,True,online,"We’ve started accepting deposits, trading will begin shortly.",False,False,0.03000000,False
ABT-USDT,ABT,USDT,0.0001,0.1,ABT/USDT,1,False,False,False,True,online,"We’ve started accepting deposits, trading will begin shortly.",False,False,0.03000000,False
ACH-USD,ACH,USD,0.000001,0.1,ACH/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ADA-BTC,ADA,BTC,0.00000001,0.01,ADA/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
ADA-ETH,ADA,ETH,0.000001,0.01,ADA/ETH,0.00022,False,False,False,False,online,,False,False,0.03000000,False
ADA-EUR,ADA,EUR,0.0001,0.01,ADA/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ADA-GBP,ADA,GBP,0.0001,0.01,ADA/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ADA-USD,ADA,USD,0.0001,0.01,ADA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ADA-USDC,ADA,USDC,0.001,0.01,ADA/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
ADA-USDT,ADA,USDT,0.001,0.01,ADA/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AERGO-USD,AERGO,USD,0.0001,0.1,AERGO/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AGLD-USD,AGLD,USD,0.0001,0.01,AGLD/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AGLD-USDT,AGLD,USDT,0.0001,0.01,AGLD/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AIOZ-USD,AIOZ,USD,0.0001,0.1,AIOZ/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AIOZ-USDT,AIOZ,USDT,0.0001,0.1,AIOZ/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
ALCX-EUR,ALCX,EUR,0.01,0.0001,ALCX/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ALCX-USD,ALCX,USD,0.01,0.0001,ALCX/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ALCX-USDT,ALCX,USDT,0.01,0.0001,ALCX/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
ALEPH-USD,ALEPH,USD,0.0001,0.1,ALEPH/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ALGO-BTC,ALGO,BTC,0.00000001,1,ALGO/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
ALGO-EUR,ALGO,EUR,0.0001,1,ALGO/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ALGO-GBP,ALGO,GBP,0.0001,1,ALGO/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ALGO-USD,ALGO,USD,0.0001,0.1,ALGO/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ALICE-USD,ALICE,USD,0.001,0.001,ALICE/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AMP-USD,AMP,USD,0.00001,1,AMP/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ANKR-BTC,ANKR,BTC,0.00000001,1,ANKR/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
ANKR-EUR,ANKR,EUR,0.00001,1,ANKR/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ANKR-GBP,ANKR,GBP,0.00001,1,ANKR/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ANKR-USD,ANKR,USD,0.00001,1,ANKR/USD,1,False,False,False,False,online,,False,False,0.03000000,False
APE-EUR,APE,EUR,0.001,0.01,APE/EUR,1,False,False,False,False,online,,False,False,0.03000000,False
APE-USD,APE,USD,0.001,0.01,APE/USD,1,False,False,False,False,online,,False,False,0.03000000,False
APE-USDT,APE,USDT,0.001,0.01,APE/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
API3-USD,API3,USD,0.001,0.01,API3/USD,5,False,False,False,False,online,,False,False,0.03000000,False
API3-USDT,API3,USDT,0.001,0.01,API3/USDT,5,False,False,True,False,online,,False,False,0.03000000,False
ARPA-EUR,ARPA,EUR,0.00001,0.1,ARPA/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ARPA-USD,ARPA,USD,0.0001,0.1,ARPA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ARPA-USDT,ARPA,USDT,0.0001,0.1,ARPA/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
ASM-USD,ASM,USD,0.00001,1,ASM/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ASM-USDT,ASM,USDT,0.00001,1,ASM/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AST-USD,AST,USD,0.0001,0.1,AST/USD,1,False,False,True,False,online,,False,False,0.10000000,False
ATA-USD,ATA,USD,0.0001,0.1,ATA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ATA-USDT,ATA,USDT,0.0001,0.1,ATA/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
ATOM-BTC,ATOM,BTC,0.0000001,0.1,ATOM/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
ATOM-EUR,ATOM,EUR,0.01,0.001,ATOM/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ATOM-GBP,ATOM,GBP,0.01,0.001,ATOM/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ATOM-USD,ATOM,USD,0.001,0.01,ATOM/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ATOM-USDT,ATOM,USDT,0.01,0.001,ATOM/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-EUR,AUCTION,EUR,0.01,0.001,AUCTION/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-USD,AUCTION,USD,0.01,0.001,AUCTION/USD,1,False,False,False,False,online,,False,False,0.03000000,False
AUCTION-USDT,AUCTION,USDT,0.01,0.001,AUCTION/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
AVAX-BTC,AVAX,BTC,0.00000001,0.001,AVAX/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
AVAX-EUR,AVAX,EUR,0.01,0.001,AVAX/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
AVAX-USD,AVAX,USD,0.01,0.001,AVAX/USD,1,False,False,False,False,online,,False,False,0.03000000,False
